04SilentNight.mp3
true
Glad - Silent Night
Glad
1429:1:2,3,4,5,6,7,8: [VERSE 01]
2029:2:1: [VERSE 01]
2765:3,1:2: [VERSE 01]
3493:4,2:3,1: [VERSE 01]
4229:5,3,1:4,2: [VERSE 01]
4996:6,4,2:5,3,1: [VERSE 01]
187093:6,4,2:7,5,3,1: [VERSE 01]
188661:7,5,3,1:6,4,2: [VERSE 01]
189293:6,4,2:7,5,3,1: [VERSE 01]
190228:7,5,3,1:6,4,2: [VERSE 01]
190828:6,4,2:7,5,3,1: [VERSE 01]
191637:7,5,3,1:6,4,2: [VERSE 01]
193420:6,4,2:7,5,3,1: [VERSE 01]
194061:7,5,3,1:6,4,2: [VERSE 01]
196372:6,4,2:7,5,3,1: [VERSE 01]
197060:7,5,3,1:6,4,2: [VERSE 01]
197693:6,4,2:7,5,3,1: [VERSE 01]
198404:7,5,3,1:6,4,2: [VERSE 01]
199164:6,4,2:7,5,3,1: [VERSE 01]
199972:7,5,3,1:6,4,2: [VERSE 01]
200860:6,4,2:7,5,3,1: [VERSE 01]
204165:7,5,3,1:6,4,2: [VERSE 01]
205772:6,4,2:7,5,3,1: [VERSE 01]
206988:7,5,3,1:6,4,2: [VERSE 01]
207356:6,4,2:7,5,3,1: [VERSE 01]
208044:7,5,3,1:6,4,2: [VERSE 01]
208940:6,4,2:7,5,3,1: [VERSE 01]
209837:7,5,3:6,4,2: [VERSE 01]
210892:6,4:7,5,3: [VERSE 01]
213508:7,5:6,4: [VERSE 02]
216084:6:: [VERSE 02]
218540:7:: [VERSE 02]
221900:1,2,3,4,5,6,7,8:: [VERSE 02]
225900:1,2,3,4,5,6,7,8::[END]
